 A0144915A,0010,A,C,B,E,C,C,D,E,E,A,C,D,B,E,D,B,A,E,C,B,A,D,D,A,C,C,B,D,A,C,B,C,E,E,B,B,C,,,,,,,,,,,,,
 A0124827A,0005,A,D,E,A,C,A,C,B,A,B,A,A,D,B,D,B,E,C,B,C,D,E,C,A,B,C,C,B,D,E,C,B,D,B,A,C,B,,,,,,,,,,,,,
 A0160705M,0005,A,D,A,A,C,D,E,A,B,B,A,A,C,B,D,A,B,C,D,C,A,E,E,A,D,E,B,E,A,D,A,A,C,B,A,A,B,,,,,,,,,,,,,
 A0170683B,0006,A,D,A,A,C,D,C,A,A,B,E,C,E,B,D,C,C,C,D,E,D,E,E,A,E,E,C,A,A,C,A,C,C,B,E,A,B,,,,,,,,,,,,,
 A0155983N,0005,A,D,D,A,D,D,C,A,A,B,E,E,C,B,D,A,E,A,B,C,D,E,B,A,A,B,C,B,E,C,C,E,B,C,D,B,C,,,,,,,,,,,,,
 A0121305B,0005,A,D,E,A,C,D,E,A,A,B,B,C,C,A,D,A,C,C,D,E,D,E,E,A,C,E,C,B,C,C,A,C,D,B,E,D,B,,,,,,,,,,,,,
 A0173833B,0010,B,A,C,C,D,E,B,A,C,B,B,B,B,B,A,E,B,B,A,B,E,D,B,B,B,B,B,C,E,B,A,D,E,E,B,D,A,,,,,,,,,,,,,
 A0161315R,0011,B,A,A,C,D,E,E,A,C,E,B,E,A,B,C,E,D,B,C,C,C,D,B,E,B,D,E,D,C,A,A,D,E,C,E,D,A,,,,,,,,,,,,,
 A0158577L,0005,B,A,A,E,D,E,E,A,C,A,B,C,C,D,C,E,A,E,A,C,A,C,D,E,D,E,C,A,C,A,A,D,C,E,D,A,C,,,,,,,,,,,,,
 A0160586Y,0011,B,A,B,B,C,E,A,A,C,E,E,E,B,A,D,B,D,B,C,E,A,D,E,E,D,E,B,A,C,A,A,C,E,E,A,C,A,,,,,,,,,,,,,
 A0121712X,0008,B,A,E,C,D,E,E,A,C,C,B,E,D,B,C,E,E,B,A,A,A,C,E,E,B,C,C,D,E,B,A,D,C,C,B,D,A,,,,,,,,,,,,,
 A0154379U,0003,B,B,D,D,B,A,B,E,C,C,B,D,D,C,E,B,C,E,C,C,C,B,E,D,B,C,D,E,B,A,A,B,C,A,E,C,E,,,,,,,,,,,,,
